,date,account_value
135,2022-04-14,1040115.8946412778
136,2022-04-18,1044484.2669328428
137,2022-04-19,1057585.7225908018
138,2022-04-20,1068180.7665284849
139,2022-04-21,1060950.950297711
140,2022-04-22,1027148.9453233457
141,2022-04-25,1036991.4874681211
142,2022-04-26,1003826.2359498716
143,2022-04-27,1035522.2092469907
144,2022-04-28,1061092.033488629
145,2022-04-29,1026168.9640763975
146,2022-05-02,1016874.2883714414
147,2022-05-03,1010644.1920121885
148,2022-05-04,1038287.6243089414
149,2022-05-05,1002647.5281480527
150,2022-05-06,988531.558223126
151,2022-05-09,956945.6684526182
152,2022-05-10,956057.8106874204
153,2022-05-11,959317.3725694395
154,2022-05-12,945503.6083329893
155,2022-05-13,968515.5149720884
156,2022-05-16,961920.3464845396
157,2022-05-17,967671.4071916318
158,2022-05-18,935790.9385637022
159,2022-05-19,922012.8984788633
160,2022-05-20,926212.6184266782
161,2022-05-23,962014.1318467832
162,2022-05-24,947446.8289445615
163,2022-05-25,955844.1054109312
164,2022-05-26,978161.7356370664
165,2022-05-27,998171.0728334165
166,2022-05-31,994415.0167878843
167,2022-06-01,980528.904178021
168,2022-06-02,1000996.8333009458
169,2022-06-03,988171.8861650205
170,2022-06-06,988843.2610124326
171,2022-06-07,993781.6943086362
172,2022-06-08,985446.5128358579
173,2022-06-09,956461.0229371763
174,2022-06-10,929367.3619874693
175,2022-06-13,897750.8524583555
176,2022-06-14,897385.9830812193
177,2022-06-15,907567.9699586607
178,2022-06-16,878687.1315034605
179,2022-06-17,886339.2448686338
180,2022-06-21,904388.7103379942
181,2022-06-22,901258.222072003
182,2022-06-23,909266.7910112119
183,2022-06-24,941188.6653093076
184,2022-06-27,933923.4000123716
185,2022-06-28,914688.8104966856
186,2022-06-29,915443.1969636655
187,2022-06-30,907195.3723329282
188,2022-07-01,918055.1539949155
189,2022-07-05,921098.4042237974
190,2022-07-06,921342.6053193784
191,2022-07-07,929623.7831529356
192,2022-07-08,932490.0188401914
193,2022-07-11,934310.1308549619
194,2022-07-12,931245.6664918638
195,2022-07-13,929494.3857225156
196,2022-07-14,931707.9658158994
197,2022-07-15,953057.8499101377
198,2022-07-18,945523.584697125
199,2022-07-19,972872.3154252744
200,2022-07-20,974220.7217363096
201,2022-07-21,985672.981143353
202,2022-07-22,982139.3382066465
203,2022-07-25,984930.8789323545
204,2022-07-26,964930.5772966123
205,2022-07-27,967491.8531755186
206,2022-07-28,975373.872424481
207,2022-07-29,982791.3632234312
208,2022-08-01,980668.7419694639
209,2022-08-02,964125.5484803892
210,2022-08-03,973200.1996873594
211,2022-08-04,982172.3287156797
212,2022-08-05,990371.6706575132
213,2022-08-08,984226.0713227964
214,2022-08-09,979854.2067674375
215,2022-08-10,991485.1475023008
216,2022-08-11,991960.9949372984
217,2022-08-12,999385.5434907652
218,2022-08-15,1013465.7938188291
219,2022-08-16,1022888.342875836
220,2022-08-17,1014189.2039521909
221,2022-08-18,1016929.4902986265
222,2022-08-19,1004712.0734437681
223,2022-08-22,983801.7944520689
224,2022-08-23,977794.7552140928
225,2022-08-24,981017.059672711
226,2022-08-25,994839.9281877256
227,2022-08-26,963467.329959271
228,2022-08-29,959326.1766313291
229,2022-08-30,956011.5837892271
230,2022-08-31,945764.0682557798
231,2022-09-01,950817.2001603818
232,2022-09-02,940421.7470887876
233,2022-09-06,939855.1414445615
234,2022-09-07,954160.3788942075
235,2022-09-08,957716.8058809019
236,2022-09-09,976623.0524095274
237,2022-09-12,987035.1889909483
238,2022-09-13,953430.526645062
239,2022-09-14,953716.0208390928
240,2022-09-15,941366.5547212339
241,2022-09-16,931229.6092256284
242,2022-09-19,935545.7908128477
243,2022-09-20,928818.3473466611
244,2022-09-21,910428.893832562
245,2022-09-22,897614.9662507749
246,2022-09-23,883751.7206681943
247,2022-09-26,871219.3027604795
248,2022-09-27,861999.0339997984
249,2022-09-28,873346.3638032652
250,2022-09-29,870289.3632158018
251,2022-09-30,856869.0398057676
252,2022-10-03,877927.7565797544
253,2022-10-04,899128.9711793638
254,2022-10-05,900268.0923951841
255,2022-10-06,889398.0876573301
256,2022-10-07,876394.4369081235
257,2022-10-10,870938.9671205259
258,2022-10-11,865629.4676545835
259,2022-10-12,861713.8843492246
260,2022-10-13,888399.1357377744
261,2022-10-14,873515.6846955991
262,2022-10-17,888722.0306504942
263,2022-10-18,903808.3309968687
264,2022-10-19,898228.641375897
